phase,method,optimizerSeed,actualRunIndex,scenarioId,scenarioHash,config,seed,horizon,ticks,completedOrders,unfinishedOrders,throughput,meanDelay,maxDelay,oldestUnfinishedAge,waitingRatio,stationUtilization,stalledTicks,runtimeMs,planningMs,kernelVersion,codeVersion,stateHash,status,error
training,random,7,1,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,32,54,14,0.04722222222222222,"{""assembly-1"":0.3375,""press-1"":0.42916666666666664}",0,128.03254199999998,107.08116600000032,1.1.0,40aaab7,17fd349b,completed,
training,random,7,2,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,6,8,0.025,113.16666666666667,134,128,0.015625,"{""assembly-1"":0.2625,""press-1"":0.3416666666666667}",0,212.862417,183.01979000000003,1.1.0,40aaab7,5b975545,completed,
training,random,7,3,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,13,3,0.05416666666666667,48.38461538461539,58,28,0.08125,"{""assembly-1"":0.525,""assembly-2"":0,""press-1"":0.575,""press-2"":0.0625}",0,183.25724999999994,156.2523769999998,1.1.0,40aaab7,8dcde3e7,completed,
training,random,7,4,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,0,0.0375,42.44444444444444,77,,0,"{""assembly-1"":0.3958333333333333,""press-1"":0.5125}",0,207.548583,179.25949899999966,1.1.0,40aaab7,a7aa725f,completed,
training,random,7,5,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,6,8,0.025,117.5,140,128,0.0020833333333333333,"{""assembly-1"":0.3,""press-1"":0.3958333333333333}",0,370.63854200000003,323.74378900000295,1.1.0,40aaab7,d8ee5d1e,completed,
training,random,7,6,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,8,8,0.03333333333333333,105.875,114,111,0.0020833333333333333,"{""assembly-1"":0.2625,""assembly-2"":0.15,""press-1"":0.3541666666666667,""press-2"":0.26666666666666666}",0,318.8923749999999,278.78241899999875,1.1.0,40aaab7,062ef670,completed,
training,random,7,7,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,8,1,0.03333333333333333,41.125,60,14,0.04583333333333333,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,209.34829100000002,182.40573799999856,1.1.0,40aaab7,579613d7,completed,
training,random,7,8,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,5,9,0.020833333333333332,111.6,131,145,0.0125,"{""assembly-1"":0.225,""press-1"":0.31666666666666665}",0,383.71470899999986,334.0048279999967,1.1.0,40aaab7,79ccd1c6,completed,
training,random,7,9,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,11,5,0.04583333333333333,57.45454545454545,64,61,0.06770833333333333,"{""assembly-1"":0.45,""assembly-2"":0,""press-1"":0.5625,""press-2"":0.020833333333333332}",0,413.9882090000001,364.73149600000215,1.1.0,40aaab7,94497e4d,completed,
training,random,7,10,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,8,1,0.03333333333333333,37.5,62,14,0.001388888888888889,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,110.52312500000016,94.6289159999983,1.1.0,40aaab7,f75bea72,completed,
training,random,7,11,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,5,9,0.020833333333333332,117.4,157,145,0.0020833333333333333,"{""assembly-1"":0.225,""press-1"":0.29583333333333334}",0,225.56875000000036,194.65991299999905,1.1.0,40aaab7,9f825aa6,completed,
training,random,7,12,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,12,4,0.05,60.75,66,44,0,"{""assembly-1"":0.4791666666666667,""assembly-2"":0,""press-1"":0.5625,""press-2"":0.020833333333333332}",0,200.24387500000012,171.0450409999994,1.1.0,40aaab7,ecff76b1,completed,
training,random,7,13,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,8,1,0.03333333333333333,50.375,71,14,0.10972222222222222,"{""assembly-1"":0.375,""press-1"":0.4791666666666667}",0,81.58462499999996,67.84588000000167,1.1.0,40aaab7,6ecb4686,completed,
training,random,7,14,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,5,9,0.020833333333333332,114.6,133,145,0.030208333333333334,"{""assembly-1"":0.2791666666666667,""press-1"":0.3958333333333333}",0,143.12558299999955,122.76245999999946,1.1.0,40aaab7,1d8ec950,completed,
training,random,7,15,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,9,7,0.0375,106.55555555555556,125,94,0.09895833333333333,"{""assembly-1"":0.225,""assembly-2"":0.15,""press-1"":0.3333333333333333,""press-2"":0.25833333333333336}",0,123.22087499999998,105.19296599999734,1.1.0,40aaab7,62114e12,completed,
training,random,7,16,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,8,1,0.03333333333333333,32.5,57,14,0.034722222222222224,"{""assembly-1"":0.3375,""press-1"":0.4375}",0,78.29783300000008,65.9128839999994,1.1.0,40aaab7,f9e423e6,completed,
training,random,7,17,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,6,8,0.025,112,125,128,0.011458333333333333,"{""assembly-1"":0.26666666666666666,""press-1"":0.3375}",0,148.77470799999992,130.6736960000053,1.1.0,40aaab7,72355030,completed,
training,random,7,18,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,13,3,0.05416666666666667,43.46153846153846,52,28,0.0875,"{""assembly-1"":0.5291666666666667,""assembly-2"":0,""press-1"":0.6375,""press-2"":0.041666666666666664}",0,126.53337499999998,107.31625200000462,1.1.0,40aaab7,00986e67,completed,
training,ga,7,1,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,32,54,14,0.04722222222222222,"{""assembly-1"":0.3375,""press-1"":0.42916666666666664}",0,102.92233299999998,87.74633100000028,1.1.0,40aaab7,17fd349b,completed,
training,ga,7,2,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,6,8,0.025,113.16666666666667,134,128,0.015625,"{""assembly-1"":0.2625,""press-1"":0.3416666666666667}",0,205.21937500000013,179.91109300000107,1.1.0,40aaab7,5b975545,completed,
training,ga,7,3,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,13,3,0.05416666666666667,48.38461538461539,58,28,0.08125,"{""assembly-1"":0.525,""assembly-2"":0,""press-1"":0.575,""press-2"":0.0625}",0,173.17316699999992,148.25550300000032,1.1.0,40aaab7,8dcde3e7,completed,
training,ga,7,4,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,0,0.0375,42.44444444444444,77,,0,"{""assembly-1"":0.3958333333333333,""press-1"":0.5125}",0,188.92075000000023,164.98503600000004,1.1.0,40aaab7,a7aa725f,completed,
training,ga,7,5,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,6,8,0.025,117.5,140,128,0.0020833333333333333,"{""assembly-1"":0.3,""press-1"":0.3958333333333333}",0,365.2041250000002,318.0703760000033,1.1.0,40aaab7,d8ee5d1e,completed,
training,ga,7,6,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,8,8,0.03333333333333333,105.875,114,111,0.0020833333333333333,"{""assembly-1"":0.2625,""assembly-2"":0.15,""press-1"":0.3541666666666667,""press-2"":0.26666666666666666}",0,319.5721249999997,277.53470400000333,1.1.0,40aaab7,062ef670,completed,
training,ga,7,7,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,8,1,0.03333333333333333,41.125,60,14,0.04583333333333333,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,207.1885830000001,181.52409199999238,1.1.0,40aaab7,579613d7,completed,
training,ga,7,8,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,5,9,0.020833333333333332,111.6,131,145,0.0125,"{""assembly-1"":0.225,""press-1"":0.31666666666666665}",0,372.86462500000016,328.2622469999951,1.1.0,40aaab7,79ccd1c6,completed,
training,ga,7,9,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,11,5,0.04583333333333333,57.45454545454545,64,61,0.06770833333333333,"{""assembly-1"":0.45,""assembly-2"":0,""press-1"":0.5625,""press-2"":0.020833333333333332}",0,412.76979200000005,364.0035020000014,1.1.0,40aaab7,94497e4d,completed,
training,ga,7,10,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7031846040600573,""planningWindow"":10,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,49,68,14,0.013888888888888888,"{""assembly-1"":0.375,""press-1"":0.4791666666666667}",0,71.84620799999993,58.69437400000152,1.1.0,40aaab7,3b2ff978,completed,
training,ga,7,11,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7031846040600573,""planningWindow"":10,""replanInterval"":3}",11,240,240,6,8,0.025,116.33333333333333,134,128,0.003125,"{""assembly-1"":0.2708333333333333,""press-1"":0.375}",0,140.74137500000052,120.51240600000347,1.1.0,40aaab7,49a94327,completed,
