phase,method,optimizerSeed,actualRunIndex,scenarioId,scenarioHash,config,seed,horizon,ticks,completedOrders,unfinishedOrders,throughput,meanDelay,maxDelay,waitingRatio,stationUtilization,stalledTicks,runtimeMs,planningMs,kernelVersion,codeVersion,stateHash,status,error
training,random,7,1,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,32,54,0.04722222222222222,"{""assembly-1"":0.3375,""press-1"":0.42916666666666664}",0,114.779125,107.0228789999999,1.0.0,8b7262b,c07dbc4f,completed,
training,random,7,2,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,6,8,0.025,111.66666666666667,127,0.015625,"{""assembly-1"":0.2375,""press-1"":0.3333333333333333}",0,183.449584,178.84075400000023,1.0.0,8b7262b,dffabf2c,completed,
training,random,7,3,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,13,3,0.05416666666666667,46.38461538461539,205,0.07395833333333333,"{""assembly-1"":0.55,""assembly-2"":0,""press-1"":0.5833333333333334,""press-2"":0.08333333333333333}",0,168.81379200000003,161.6880469999997,1.0.0,8b7262b,6d599528,completed,
training,random,7,4,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,0,0.0375,42.44444444444444,77,0,"{""assembly-1"":0.3958333333333333,""press-1"":0.5125}",0,184.77383400000008,177.85979599999985,1.0.0,8b7262b,346d43bb,completed,
training,random,7,5,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,6,8,0.025,117.16666666666667,145,0.0020833333333333333,"{""assembly-1"":0.2833333333333333,""press-1"":0.3958333333333333}",0,365.8266249999999,359.54041599999914,1.0.0,8b7262b,6036b2fe,completed,
training,random,7,6,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,7,0.0375,108.11111111111111,199,0.0010416666666666667,"{""assembly-1"":0.2625,""assembly-2"":0.15,""press-1"":0.3333333333333333,""press-2"":0.25}",0,297.409584,290.5318759999989,1.0.0,8b7262b,05be6dc4,completed,
training,random,7,7,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,8,1,0.03333333333333333,41.125,60,0.04583333333333333,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,186.62525000000005,183.27778500000022,1.0.0,8b7262b,d3261b47,completed,
training,random,7,8,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,6,8,0.025,104.5,120,0.025,"{""assembly-1"":0.2708333333333333,""press-1"":0.3541666666666667}",0,316.10079199999996,312.32500199999686,1.0.0,8b7262b,af8f0962,completed,
training,random,7,9,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,11,5,0.04583333333333333,44.09090909090909,64,0.058333333333333334,"{""assembly-1"":0.475,""assembly-2"":0,""press-1"":0.5625,""press-2"":0.020833333333333332}",0,345.39274999999975,340.15815800000087,1.0.0,8b7262b,4e4da3a4,completed,
training,random,7,10,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,8,1,0.03333333333333333,41.125,64,0.001388888888888889,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,107.84858299999996,105.1859480000021,1.0.0,8b7262b,d93334a9,completed,
